date,code,open,high,low,close,preclose,volume,amount,adjustflag,turn,tradestatus,pctChg,isST,ma10,ta10
2018-07-24,sh.600375,4.8200000000,4.9000000000,4.8000000000,4.8700000000,4.8200000000,4157314,20208725.0000,2,0.748067,1,1.037338,0,4.945000000000019,0.7848961000000012
2018-07-25,sh.600375,4.8900000000,4.9800000000,4.8500000000,4.9400000000,4.8700000000,4157201,20400820.0000,2,0.748047,1,1.437375,0,4.929000000000018,0.7840791000000011
2018-07-26,sh.600375,4.9500000000,5.0500000000,4.9300000000,4.9700000000,4.9400000000,5227806,26002929.0000,2,0.940692,1,0.607282,0,4.908000000000018,0.752708800000001
2018-07-27,sh.600375,4.9800000000,4.9800000000,4.8600000000,4.9200000000,4.9700000000,4073500,20004212.0000,2,0.7329859999999999,1,-1.006030,0,4.886000000000019,0.7008519000000011
2018-07-30,sh.600375,4.9300000000,4.9600000000,4.8500000000,4.8900000000,4.9200000000,2634000,12900632.0000,2,0.473962,1,-0.609760,0,4.876000000000018,0.6360184000000011
2018-07-31,sh.600375,4.8600000000,4.9300000000,4.8400000000,4.9200000000,4.8900000000,7484860,36485461.0000,2,1.346826,1,0.613501,0,4.877000000000018,0.6816918000000011
2018-08-01,sh.600375,4.9200000000,4.9200000000,4.7900000000,4.8500000000,4.9200000000,9367900,45610436.0000,2,1.685661,1,-1.422768,0,4.874000000000018,0.8046089000000011
2018-08-02,sh.600375,4.8000000000,4.8400000000,4.6000000000,4.8000000000,4.8500000000,5061310,23852439.0000,2,0.910732,1,-1.030922,0,4.878000000000018,0.8329442000000011
2018-08-03,sh.600375,4.8100000000,4.8200000000,4.7300000000,4.7400000000,4.8000000000,2227051,10632883.0000,2,0.40073600000000004,1,-1.250009,0,4.8720000000000185,0.8393078000000012
2018-08-06,sh.600375,4.7300000000,4.7700000000,4.5700000000,4.6400000000,4.7400000000,4703602,21902798.0000,2,0.846366,1,-2.109703,0,4.854000000000019,0.8834075000000011
2018-08-07,sh.600375,4.6600000000,4.7200000000,4.5900000000,4.7100000000,4.6400000000,5122136,23918517.0000,2,0.9216770000000001,1,1.508624,0,4.838000000000019,0.9007685000000011
2018-08-08,sh.600375,4.6800000000,4.7000000000,4.6200000000,4.6600000000,4.7100000000,2821300,13131201.0000,2,0.5076649999999999,1,-1.061575,0,4.810000000000019,0.8767303000000011
2018-08-09,sh.600375,4.6300000000,4.7100000000,4.6300000000,4.6800000000,4.6600000000,5451702,25524313.0000,2,0.98098,1,0.429184,0,4.781000000000019,0.8807591000000011
2018-08-10,sh.600375,4.6900000000,4.7000000000,4.6300000000,4.6700000000,4.6800000000,2996001,13973129.0000,2,0.539101,1,-0.213670,0,4.75600000000002,0.8613706000000011
2018-08-13,sh.600375,4.6300000000,4.6400000000,4.5600000000,4.6300000000,4.6700000000,3574601,16413762.0000,2,0.6432140000000001,1,-0.856530,0,4.73000000000002,0.8782958000000012
2018-08-14,sh.600375,4.6100000000,4.6400000000,4.5900000000,4.6200000000,4.6300000000,2080200,9592136.0000,2,0.374311,1,-0.215988,0,4.700000000000019,0.7810443000000011
2018-08-15,sh.600375,4.6200000000,4.6500000000,4.5600000000,4.5900000000,4.6200000000,2674800,12330126.0000,2,0.481304,1,-0.649345,0,4.674000000000019,0.6606086000000012
2018-08-16,sh.600375,4.5500000000,4.5700000000,4.3900000000,4.4600000000,4.5900000000,4820400,21581230.0000,2,0.867383,1,-2.832246,0,4.640000000000019,0.6562737000000012
2018-08-17,sh.600375,4.4000000000,4.4600000000,4.2700000000,4.3000000000,4.4600000000,5617000,24445253.0000,2,1.010723,1,-3.587440,0,4.596000000000019,0.7172724000000011
2018-08-20,sh.600375,4.2900000000,4.3000000000,4.1200000000,4.2100000000,4.3000000000,4619501,19375494.0000,2,0.831233,1,-2.093027,0,4.553000000000019,0.7157591000000011
2018-08-21,sh.600375,4.1900000000,4.2500000000,4.1800000000,4.2200000000,4.2100000000,3214285,13558074.0000,2,0.578379,1,0.237524,0,4.504000000000018,0.6814293000000011
2018-08-22,sh.600375,4.2100000000,4.2400000000,4.1600000000,4.2200000000,4.2200000000,2873200,12069498.0000,2,0.517004,1,0.000000,0,4.460000000000018,0.6823632000000011
2018-08-23,sh.600375,4.2200000000,4.2200000000,4.1700000000,4.2000000000,4.2200000000,2324500,9762803.0000,2,0.418271,1,-0.473933,0,4.412000000000019,0.626092300000001
2018-08-24,sh.600375,4.2000000000,4.2100000000,4.1700000000,4.2000000000,4.2000000000,2208913,9248671.0000,2,0.397472,1,0.000000,0,4.365000000000018,0.6119294000000011
2018-08-27,sh.600375,4.2000000000,4.2800000000,4.1800000000,4.2800000000,4.2000000000,4633685,19594945.0000,2,0.833786,1,1.904771,0,4.330000000000018,0.6309866000000011
2018-08-28,sh.600375,4.2500000000,4.2800000000,4.2000000000,4.2700000000,4.2800000000,5095900,21592668.0000,2,0.916957,1,-0.233650,0,4.295000000000018,0.6852512000000011
2018-08-29,sh.600375,4.2600000000,4.2800000000,4.2000000000,4.2400000000,4.2700000000,3760139,15866100.0000,2,0.6766,1,-0.702581,0,4.2600000000000176,0.7047808000000011
2018-08-30,sh.600375,4.2300000000,4.2400000000,4.1800000000,4.2100000000,4.2400000000,3033393,12760654.0000,2,0.545829,1,-0.707541,0,4.235000000000018,0.672625400000001
2018-08-31,sh.600375,4.2000000000,4.2000000000,4.1600000000,4.2000000000,4.2100000000,2127300,8892796.0000,2,0.382787,1,-0.237535,0,4.225000000000018,0.6098318000000009
2018-09-03,sh.600375,4.2000000000,4.2000000000,4.1400000000,4.1600000000,4.2000000000,1653440,6876415.0000,2,0.29752,1,-0.952380,0,4.220000000000018,0.556460500000001
2018-09-04,sh.600375,4.1600000000,4.2100000000,4.1400000000,4.2000000000,4.1600000000,2174410,9083745.0000,2,0.391263,1,0.961538,0,4.218000000000019,0.5377489000000011
2018-09-05,sh.600375,4.2000000000,4.2100000000,4.1500000000,4.1700000000,4.2000000000,1916640,8012662.0000,2,0.34488,1,-0.714279,0,4.213000000000019,0.5205365000000011
2018-09-06,sh.600375,4.1800000000,4.1900000000,4.1400000000,4.1500000000,4.1700000000,1500400,6244281.0000,2,0.269982,1,-0.479616,0,4.208000000000018,0.505707600000001
2018-09-07,sh.600375,4.1400000000,4.1900000000,4.1400000000,4.1500000000,4.1500000000,1837200,7648046.0000,2,0.330586,1,0.000000,0,4.203000000000018,0.4990190000000011
2018-09-10,sh.600375,4.1700000000,4.1800000000,4.0700000000,4.1000000000,4.1500000000,2353685,9712832.0000,2,0.423522,1,-1.204824,0,4.185000000000018,0.4579926000000011
2018-09-11,sh.600375,4.1100000000,4.1500000000,4.1000000000,4.1500000000,4.1000000000,2380502,9824934.0000,2,0.42834799999999995,1,1.219517,0,4.173000000000018,0.4091317000000011
2018-09-12,sh.600375,4.1500000000,4.1600000000,4.1100000000,4.1300000000,4.1500000000,1855100,7668982.0000,2,0.333807,1,-0.481927,0,4.162000000000018,0.3748524000000011
2018-09-13,sh.600375,4.1500000000,4.1600000000,4.1100000000,4.1500000000,4.1300000000,1882000,7787925.0000,2,0.338647,1,0.484261,0,4.1560000000000175,0.3541342000000011
2018-09-14,sh.600375,4.1500000000,4.3000000000,4.1500000000,4.2100000000,4.1500000000,6718100,28487618.0000,2,1.208855,1,1.445782,0,4.157000000000017,0.4367410000000012
2018-09-17,sh.600375,4.1600000000,4.2000000000,4.0300000000,4.0800000000,4.2100000000,4321400,17639385.0000,2,0.777593,1,-3.087889,0,4.149000000000017,0.48474830000000113
2018-09-18,sh.600375,4.0600000000,4.1500000000,4.0200000000,4.1300000000,4.0800000000,4105400,16761802.0000,2,0.738726,1,1.225495,0,4.142000000000016,0.519494600000001
2018-09-19,sh.600375,4.1200000000,4.1800000000,4.0900000000,4.1500000000,4.1300000000,3952600,16348350.0000,2,0.7112310000000001,1,0.484261,0,4.1400000000000166,0.5561297000000011
2018-09-20,sh.600375,4.1600000000,4.1800000000,4.1000000000,4.1400000000,4.1500000000,3669601,15190060.0000,2,0.660308,1,-0.240969,0,4.139000000000016,0.595162300000001
2018-09-21,sh.600375,4.1500000000,4.2300000000,4.1200000000,4.1900000000,4.1400000000,4852101,20305759.0000,2,0.8730870000000001,1,1.207734,0,4.143000000000017,0.649412400000001
2018-09-25,sh.600375,4.1600000000,4.1800000000,4.1300000000,4.1600000000,4.1900000000,2864500,11891403.0000,2,0.5154380000000001,1,-0.715995,0,4.149000000000016,0.658604000000001
2018-09-26,sh.600375,4.1500000000,4.2000000000,4.1400000000,4.1800000000,4.1600000000,3479301,14496377.0000,2,0.626066,1,0.480769,0,4.152000000000016,0.678375800000001
