,stockName,nTrading,finalCapital,onHold
171,000595.SZ,0,10000.0,0
172,000596.SZ,0,10000.0,0
173,000597.SZ,0,10000.0,0
174,000598.SZ,0,10000.0,0
175,000599.SZ,0,10000.0,0
176,000600.SZ,0,10000.0,0
177,000601.SZ,0,10000.0,0
178,000603.SZ,0,10000.0,0
179,000605.SZ,0,10000.0,0
180,000606.SZ,0,10000.0,0
181,000607.SZ,0,10000.0,0
182,000608.SZ,0,10000.0,0
183,000609.SZ,0,10000.0,0
184,000610.SZ,0,10000.0,0
185,000611.SZ,0,10000.0,0
186,000612.SZ,0,10000.0,0
187,000613.SZ,1,11919.561243144422,0
188,000615.SZ,0,10000.0,0
189,000616.SZ,0,10000.0,0
190,000617.SZ,0,10000.0,0
191,000619.SZ,0,10000.0,0
192,000620.SZ,0,10000.0,0
193,000622.SZ,0,9375.78027465668,1
194,000623.SZ,0,10000.0,0
195,000625.SZ,0,10000.0,0
196,000626.SZ,0,10000.0,0
197,000627.SZ,0,10000.0,0
198,000628.SZ,0,10000.0,0
199,000630.SZ,0,10000.0,0
200,000631.SZ,0,10000.0,0
201,000632.SZ,0,10000.0,0
202,000633.SZ,0,10000.0,0
203,000635.SZ,0,10000.0,0
204,000636.SZ,1,6992.632232179232,1
205,000637.SZ,0,10000.0,0
206,000638.SZ,0,10000.0,0
207,000639.SZ,0,10000.0,0
208,000650.SZ,0,10000.0,0
209,000651.SZ,0,10000.0,0
210,000652.SZ,0,10000.0,0
211,000655.SZ,0,10000.0,0
212,000656.SZ,0,10000.0,0
213,000657.SZ,0,10000.0,0
214,000659.SZ,0,10000.0,0
215,000661.SZ,2,12161.587560481294,0
216,000662.SZ,0,10000.0,0
217,000663.SZ,0,10000.0,0
218,000665.SZ,0,10000.0,0
219,000667.SZ,0,10000.0,0
220,000668.SZ,0,10000.0,0
221,000669.SZ,0,10000.0,0
222,000670.SZ,0,10000.0,0
223,000671.SZ,0,5972.382048331416,1
224,000672.SZ,1,8133.7929452543585,1
225,000673.SZ,0,10000.0,0
